job_id,contract_id,clause_id,citation,clause_name,taxonomy,taxonomy_provenance,type,prob,issue,matched,matched_key,gold_issue,gold_type,alignment,determinable,words_at_issue,evidence,reason
122FSupp3d1157_broker_dealer_agreement__c038__t1_1,122FSupp3d1157_broker_dealer_agreement,c038,122 F.Supp.3d 1157,5.4 Entire Agreement,1.1,westlaw,1,0.28,"The clause makes ""the other agreements and instruments executed and delivered in connection with the issuance of the Series 2004 Auction Bonds"" part of the entire agreement without identifying or limiting them. Which documents are inside the integrated whole — and therefore what the parties may prove — cannot be determined from the words.",g1,122FSupp3d1157_broker_dealer_agreement__c038__i1,The phrases “other agreements and instruments executed and delivered” and “entire agreement between the parties relating to the subject matter hereof” were lexically ambiguous as to whether related written agreements were incorporated into an expanded agreement and forum-selection scope or the clause merely barred prior parol evidence.,1.1,0.68,True,"The proposed issue turns on “the other agreements and instruments executed and delivered in connection with the issuance of the Series 2004 Auction Bonds” and the clause’s silence about which documents satisfy that description. G1 turns on that same phrase together with “entire agreement between the parties relating to the subject matter hereof,” asking whether those words incorporate related written agreements or merely exclude prior parol evidence.","Goldman Sachs countered, however, that the merger clause’s language — stipulating that it covered “instruments executed and delivered” — indicates that it covered more than just any potential oral agreements that may have existed, and-“obyiously ... [included] other written, agreements that deal with the 2004 issuance.”","Both identify uncertainty created by the phrase covering “other agreements and instruments”: the proposed issue questions which writings enter the integrated whole, while g1 questions whether related writings are incorporated at all and thereby expand the agreement and forum-selection scope. G1 is broader and focuses on incorporation’s legal effect rather than solely the documents’ unidentified boundaries."
122FSupp3d1157_broker_dealer_agreement__c038__t2_1,122FSupp3d1157_broker_dealer_agreement,c038,122 F.Supp.3d 1157,5.4 Entire Agreement,1.1,westlaw,2,0.36,"The disclaimer of ""other representations, endorsements, promises, agreements or understandings, oral, written or inferred"" is aimed at Goldman's pre-contract Proposal to Provide Investment Banking Services (November 24, 2003), which touted ""unparalleled auction rate performance"" and that ""our clients' interests always come first."" Whether the Proposal survives as part of the parties' bargain or is extinguished by this clause is a direct conflict between the two documents.",,,,,0.0,True,"The proposed issue turns on “there are no other representations, endorsements, promises, agreements or understandings, oral, written or inferred” and its effect on Goldman's November 2003 Proposal. Candidate g1 turns on “other agreements and instruments executed and delivered,” “entire agreement between the parties relating to the subject matter hereof,” and their relationship to the forum-selection clause.",,"The proposed issue concerns whether specific representations in Goldman's pre-contract Proposal were extinguished by the disclaimer. Candidate g1 instead concerns whether executed and delivered related agreements enlarge the integrated agreement and the forum-selection clause’s scope, rather than merely being excluded as parol evidence; that is a different defect involving different operative language."
122FSupp3d1157_broker_dealer_agreement__c044__t1_1,122FSupp3d1157_broker_dealer_agreement,c044,122 F.Supp.3d 1157,5.9 Governing Law; Jurisdiction; Waiver of Trial by Jury,1.1,westlaw,1,0.42,"Actions ""shall be brought in the United States District Court in the County of New York"" names a court that does not exist — there is no federal district court ""in the County of New York"" by that name — and the clause does not say whether it is exclusive or what happens if federal subject-matter jurisdiction is lacking. The venue designation and the mandatory/permissive character of the clause are both open to construction.",g3,122FSupp3d1157_broker_dealer_agreement__c044__i3,The wording “all actions and proceedings ... shall be brought” was disputed as mandatory and exclusive venue language rather than a permissive authorization to litigate in New York.,1.1,0.78,True,"The proposed issue concerns “shall be brought in the United States District Court in the County of New York,” including both the court designation and whether “shall be brought” makes that forum exclusive. G1 concerns “transactions contemplated hereby”; g2 concerns whether “all actions and proceedings” includes arbitration; g3 concerns whether “all actions and proceedings ... shall be brought” is mandatory and exclusive rather than permissive.","The forum-séleetion clause is mandatory, because its language cannot be reasonably construed as being permissive.",G3 matches the proposed issue’s complaint that “shall be brought” is open to mandatory/exclusive versus permissive construction. The proposed issue is broader because it also separately challenges the named court’s existence and the clause’s failure to address absent federal subject-matter jurisdiction.
129FSupp3d782_the_policy__c104__t1_1,129FSupp3d782_the_policy,c104,129 F.Supp.3d 782,IX.I. Jurisdiction and Venue,2.2,westlaw,1,0.24,"The clause names a State rather than a court, requires the parties to ""comply with all requirements necessary to give such court jurisdiction"" without identifying any court, and then preserves removal to federal court. Whether it is a binding exclusive forum-selection clause at all is unclear from its own words.",,,,,0.0,True,"The proposed issue concerns “exclusive jurisdiction of the State of New York,” the unclear referent of “such court,” and the sentence preserving removal to federal court. Candidate g1 concerns the conflict between “exclusive jurisdiction of the State of New York” and the separate Endorsement’s promise to submit to “any court of competent jurisdiction”; it does not concern the clause’s use of “State,” “such court,” or its removal language as sources of internal uncertainty.",,"The proposed issue alleges internal uncertainty in the clause’s identification of a forum and its preservation of removal. Candidate g1 instead identifies a conflict with the separate Endorsement and concludes that the Endorsement supplanted an otherwise unambiguous New York forum requirement, so it is not the same defect."
129FSupp3d782_the_policy__c104__t2_1,129FSupp3d782_the_policy,c104,129 F.Supp.3d 782,IX.I. Jurisdiction and Venue,2.2,westlaw,2,0.3,"The clause submits the parties to ""the exclusive jurisdiction of the State of New York"" while Endorsement 15 promises that, at the insured's request, the company ""will submit to the jurisdiction of any court of competent jurisdiction"". The two cannot both fix the forum.",g1,129FSupp3d782_the_policy__c104__i1,"The promise that the parties “shall submit to the exclusive jurisdiction of the State of New York” was in whole-contract tension with the Endorsement’s submission to “any court of competent jurisdiction,” and the court held that the Endorsement supplanted the New York forum requirement.",2.2,0.99,True,"The proposed issue concerns “the exclusive jurisdiction of the State of New York” and its conflict with Endorsement 15’s “jurisdiction of any court of competent jurisdiction.” Candidate g1 concerns those same two phrases and the same whole-contract conflict, while also recording that the Endorsement displaced the New York requirement.","Reading the Policy as a whole and giving effect to all of its provisions’ plain meaning, the Court concludes the Service of Suit Endorsement supplants the forum-selection clause and unambiguously permitted Rembrandt to file this action in this Court.",Both identify the same direct conflict between exclusive New York jurisdiction and Endorsement 15’s authorization of any competent court. The candidate additionally states the court’s resolution—that the Endorsement supplanted the forum-selection clause—but that does not change the identity of the defect.
129FSupp3d782_the_policy__c192__t2_1,129FSupp3d782_the_policy,c192,129 F.Supp.3d 782,Endorsement 15 — Submission to Jurisdiction,2.2,westlaw,2,0.3,"The company's promise to ""submit to the jurisdiction of any court of competent jurisdiction"" at the insured's request cannot be squared with Section IX.I., which commits the parties to the exclusive jurisdiction of the State of New York. Which provision fixes the forum is a direct conflict.",g1,129FSupp3d782_the_policy__c192__i1,"The promise to “submit to the jurisdiction of any court of competent jurisdiction” was disputed as either merely conveying personal jurisdiction or, when the Policy was read as a whole, amending the New York-exclusive forum-selection clause to let the insured choose any competent court.",2.2,0.95,True,"The proposed issue concerns “submit to the jurisdiction of any court of competent jurisdiction” and its conflict with Section IX.I.’s “exclusive jurisdiction of the State of New York.” Candidate g1 concerns those same words and the same cross-provision conflict, asking whether the Endorsement merely grants personal jurisdiction or instead amends the New York-exclusive clause.",The parties provide two possible interpretations of the interplay between the forum-selection clause and the Endorsement. Rembrandt’s interpretation is that the Endorsement is meant as an amendment and thereby changes the Policy’s general jurisdiction and venue terms. (PI. Resp. at 1.) Illinois Union posits that the Endorsement merely conveys personal jurisdiction over it and has no impact on the forum-selection clause. (Def. Reply at 1.),Both identify the same conflict between the Endorsement’s promise to submit to any competent court and the Policy’s New York-exclusive forum clause. The candidate adds the parties’ competing constructions—personal-jurisdiction consent versus amendment—but addresses the precise defect proposed.
129FSupp3d782_the_policy__c195__t2_1,129FSupp3d782_the_policy,c195,129 F.Supp.3d 782,Endorsement 15 — Preservation of Policy Terms,2.2,westlaw,2,0.2,"The saving clause says nothing herein varies the Policy's terms ""other than as above stated"", leaving unresolved whether the endorsement's jurisdiction and service undertakings do override Section IX.I.'s exclusive New York jurisdiction clause. The exception swallows the reservation.",g1,129FSupp3d782_the_policy__c195__i1,"The preservation language “OTHER THAN AS ABOVE STATED” created a whole-contract coherence question over whether the Endorsement could vary the Policy, and the court read it to permit the stated service-of-suit terms to amend the forum-selection clause.",2.2,0.97,True,"The proposed issue turns on “OTHER THAN AS ABOVE STATED” and its effect on the conflict between the endorsement’s jurisdiction/service undertakings and Section IX.I’s exclusive New York clause. Candidate g1 turns on the same exception and the same conflict, describing it as permitting the stated service-of-suit terms to vary the forum-selection clause.","The Endorsement ends by stating: “NOTHING HEREIN CONTAINED SHALL BE HELD TO VARY, ALTER, WAIVE OR EXTEND ANY OF THE TERMS, CONDITIONS, OR LIMITATIONS OF THE POLICY TO WHIGH THIS ENDORSEMENT IS ATTACHED OTHER THAN AS ABOVE STATED.” (Id.) (emphasis added). Accordingly, this Court concludes that the plain meaning of this language is quite clear — the Endorsement changes the Policy with respect to the contents of the Endorsément, which indicates that the insured may choose. any competent court in which to sue the insurer.","Both identify the same coherence problem: whether the saving clause’s exception permits the endorsement’s service-of-suit language to override the Policy’s exclusive forum-selection clause. The proposed issue presents the question as unresolved, while g1 records the court’s resolution that the exception allows the amendment."
161FSupp3d970_policy_of_insurance_number__c009__t1_1,161FSupp3d970_policy_of_insurance_number,c009,161 F.Supp.3d 970,Insuring Agreement,"1.1,1.3",model,1,0.44,"""Risks of direct physical loss or damage"" is undefined and its boundary — whether cosmetic, functional or merely diminished-value harm counts as ""direct physical loss or damage"" — is the classic battleground of an all-risk grant. The phrase ""unless excluded"" also leaves the burden and reach of the exclusions to be worked out.",g1,161FSupp3d970_policy_of_insurance_number__c009__i1,"The phrase “direct physical loss or damage” was alleged to be lexically ambiguous between any physical alteration, including cosmetic hail dents, and only damage measurably reducing the property’s usefulness or function.",1.1,0.95,True,"The proposed issue concerns “risks of direct physical loss or damage,” particularly its coverage of cosmetic, functional, or diminished-value harm, and separately “unless excluded.” Candidate g1 concerns the lexical scope of “direct physical loss or damage” as between cosmetic alteration and functional impairment; g2 instead concerns whether that grant is narrowed by the separate “covered loss” provisions in the Coverages section.","Defendant cites several cases for the proposition that “physical loss or damage” requires a showing of a measurable reduction in the property’s usefulness or a change to an unsatisfactory state. These cases, however, do not apply directly to the interpretation of the phrase “physical loss or damage” in this Policy. Against the backdrop of Advance Cable and other persuasive authority that suggests that “physical loss or damage” includes cosmetic hail damage that physically alters an insured’s property, the Court is not convinced that the cases offered by Defendant define the phrase to mean functional damage.","The proposed issue and g1 identify the same disputed boundary of “direct physical loss or damage”: whether cosmetic physical alteration suffices or functional/usefulness impairment is required. The proposal’s additional concern about “unless excluded” is not covered by g1, but does not undermine the direct match on its principal defect."
161FSupp3d970_policy_of_insurance_number__c029__t2_1,161FSupp3d970_policy_of_insurance_number,c029,161 F.Supp.3d 970,A. Real Property coverage,"1.1,1.3",model,2,0.26,"The grant covers real property ""at or within one-thousand (1,000) feet of a covered location,"" so its whole reach depends on the contested identification of covered locations under the Schedule (c028) and DEFINITIONS E. (c214). Property at an unlisted address may or may not fall within the grant.",,,,,0.0,True,"The proposed issue turns on “at or within one-thousand (1,000) feet of a covered location” and the identification of “covered locations” through the Schedule and DEFINITIONS E. Candidate g1 concerns the lexical meaning of “covered loss”; candidate g2 concerns whether “covered loss” limits the separate “physical loss or damage” grant.",,"Neither candidate names the proposed location-identification defect. Both concern the meaning or limiting effect of “covered loss,” whereas the proposed issue concerns whether an address qualifies as “a covered location.”"
161FSupp3d970_policy_of_insurance_number__c215__t2_1,161FSupp3d970_policy_of_insurance_number,c215,161 F.Supp.3d 970,F. Covered loss,"1.1,1.3",model,2,0.22,"""Covered loss"" is confined to loss ""at a covered location,"" although the Insuring Agreement (c009) and COVERAGES A. and B. (c029, c030) extend to property within 1,000 feet of, or in transit away from, a covered location. The definition and those grants describe different geographic reach.",,,,,0.0,True,"The proposed issue turns on “at a covered location” and its conflict with grants covering property within 1,000 feet of or in transit away from that location. g1 turns on the words “a loss” and whether they exclude cosmetic damage; g2 turns on “covered loss” as an asserted limitation on “physical loss or damage” and the absence of the enumerated-list/general-term structure required for ejusdem generis.",,"Neither candidate names the geographic inconsistency alleged by the proposed issue. g1 concerns whether “a loss” requires functional damage, while g2 concerns whether the definition limits the broader phrase “physical loss or damage” and whether ejusdem generis supports that limitation; neither addresses the mismatch between “at a covered location” and coverage extending beyond that location."
