job_id,contract_id,clause_id,citation,clause_name,taxonomy,taxonomy_provenance,type,prob,issue,matched,matched_key,gold_issue,gold_type,alignment,determinable,words_at_issue,evidence,reason
118FSupp3d802_membership_agreement__c046__t1_1,118FSupp3d802_membership_agreement,c046,118 F.Supp.3d 802,14. Service Providers,2.2,westlaw,1,1.0,The phrase `any and all liability for or relating to any Content or Service Provider Content` left open whether it reached Angie's List's own negligence or willful misconduct.,,,,,0.0,True,"The proposed issue targets the quoted phrase “any and all liability for or relating to any Content or Service Provider Content” (which does not appear verbatim here), most closely corresponding to Section 14’s statements that Angie’s List “is not responsible or liable,” and alleges silence concerning Angie’s List’s own negligence or willful misconduct. Candidate g1 targets “Angie’s List does not endorse,” together with the separate firsthand-review and passive-conduit provisions, and concerns provider payments affecting rankings and review visibility.",,"The proposed issue concerns whether the liability disclaimer encompasses Angie’s List’s own negligence or willful misconduct. The recorded defect instead concerns whether the non-endorsement representation, read with other provisions, prohibits paid manipulation of rankings and review visibility; it is a different defect."
129FSupp3d782_the_policy__c104__t2_1,129FSupp3d782_the_policy,c104,129 F.Supp.3d 782,IX.I. Jurisdiction and Venue,2.2,westlaw,2,1.0,"Section VI.E's phrase ""where such coverage is insurable by law"" had to be read against Section IX.J to determine whether insurability was governed by New York law or by the law of the state where the pollution condition occurred.",,,,,0.0,True,The proposed issue turns on Section VI.E’s words “where such coverage is insurable by law” and their interaction with Section IX.J to identify the governing law. Candidate g1 turns on this provision’s words “shall submit to the exclusive jurisdiction of the State of New York” and their conflict with the Endorsement’s promise to submit to “any court of competent jurisdiction.”,,"The proposed issue concerns which law governs the insurability limitation in Section VI.E, whereas g1 concerns whether a Service of Suit Endorsement supplants the exclusive New York forum requirement. These are unrelated defects involving different contractual text and different cross-provisions."
129FSupp3d782_the_policy__c192__t2_1,129FSupp3d782_the_policy,c192,129 F.Supp.3d 782,Endorsement 15 — Submission to Jurisdiction,2.2,westlaw,2,1.0,"The Service of Suit Endorsement's promise to submit to ""any court of competent jurisdiction"" could not be squared with Section IX.I's requirement of exclusive jurisdiction in the State of New York on where suit could be brought.",g1,129FSupp3d782_the_policy__c192__i1,"The promise to “submit to the jurisdiction of any court of competent jurisdiction” was disputed as either merely conveying personal jurisdiction or, when the Policy was read as a whole, amending the New York-exclusive forum-selection clause to let the insured choose any competent court.",2.2,0.98,True,"The proposed issue concerns “submit to the jurisdiction of any court of competent jurisdiction” and its conflict with Section IX.I’s exclusive New York jurisdiction language. Candidate g1 concerns those same words and the same cross-provision conflict, asking whether they merely convey personal jurisdiction or amend the New York-exclusive forum-selection clause.",The parties provide two possible interpretations of the interplay between the forum-selection clause and the Endorsement. Rembrandt’s interpretation is that the Endorsement is meant as an amendment and thereby changes the Policy’s general jurisdiction and venue terms. (PI. Resp. at 1.) Illinois Union posits that the Endorsement merely conveys personal jurisdiction over it and has no impact on the forum-selection clause. (Def. Reply at 1.),"Both identify the same conflict: the endorsement’s promise to submit to any competent court appears inconsistent with the Policy’s New York-exclusive forum-selection clause. The candidate additionally states the parties’ competing resolutions of that conflict, but it names the same drafting defect."
562FSupp2d260_settlement_agreement_the_agreement__c002__t1_1,562FSupp2d260_settlement_agreement_the_agreement,c002,562 F.Supp.2d 260,1. Amendment of goods and services identification,1.1,westlaw,1,1.0,"The phrase ""Financial information services regarding the energy industry"" left open whether it reached financial research and advisory services.",,,,,0.0,True,"The proposed issue concerns the affirmative phrase “Financial information services regarding the energy industry.” Candidate g1 concerns the directive to amend the application and the provision’s silence about use; g2 concerns the specified PETROLEUM ARGUS application and silence about future applications for other marks; g3 concerns the exclusion “information concerning asset management and investment advice relating to stocks and bonds,” particularly whether it covers stock-price and earnings reporting.",,"No candidate names the proposed scope question. Although g3 also concerns financial information, it construes the separate exclusion for asset-management and investment advice and asks whether stock-price and earnings reporting falls within that exclusion, not whether “Financial information services regarding the energy industry” includes financial research and advisory services."
562FSupp2d260_settlement_agreement_the_agreement__c002__t1_2,562FSupp2d260_settlement_agreement_the_agreement,c002,562 F.Supp.2d 260,1. Amendment of goods and services identification,1.1,westlaw,1,1.0,"The phrase ""Electronic publications"" appeared without an explicit Class 9 designation, leaving open whether the amended identification included Class 9.",,,,,0.0,True,"The proposed issue turns on “Electronic publications” and the absence of a Class 9 designation, especially compared with the express “in Class 16” and “in Class 36” designations later in the provision. Candidate g1 concerns “amend the identification of goods and services set forth in the application to register PETROLEUM ARGUS” and the provision’s silence about use; g2 concerns the reference to the specified PETROLEUM ARGUS application and silence about future applications for other ARGUS marks; g3 concerns the exclusion “information concerning asset management and investment advice relating to stocks and bonds” and whether it covers stock-price and earnings reporting.",,"None of the recorded defects addresses whether the electronic-publications identification falls within Class 9 or whether omission of an express class designation creates uncertainty. The candidates instead concern registration versus use, the agreement’s application to future ARGUS registrations, and the scope of the asset-management and investment-advice exclusion."
562FSupp2d260_settlement_agreement_the_agreement__c002__t2_1,562FSupp2d260_settlement_agreement_the_agreement,c002,562 F.Supp.2d 260,1. Amendment of goods and services identification,1.1,westlaw,2,1.0,"The electronic-publications description ""reporting oil pricing worldwide"" had to be read against the printed-publications description ""reporting oil pricing"" to determine whether the printed-publication scope was also worldwide.",,,,,0.0,True,The proposed issue turns on the presence of “worldwide” after “reporting oil pricing” in the electronic-publications description and its absence from the corresponding printed-publications description. g1 concerns “application to register” and the provision’s silence about use; g2 concerns the specified PETROLEUM ARGUS application and silence about future applications for other ARGUS marks; g3 concerns the exclusion for “information concerning asset management and investment advice relating to stocks and bonds.”,,"None of the recorded defects addresses whether “worldwide” modifies the printed-publications scope. The candidates instead concern registration versus use, future applications for other marks, and the meaning of the asset-management and investment-advice exclusion."
562FSupp2d260_settlement_agreement_the_agreement__c003__t1_1,562FSupp2d260_settlement_agreement_the_agreement,c003,562 F.Supp.2d 260,2. No opposition or challenge to PETROLEUM ARGUS,1.1,westlaw,1,1.0,"The phrase ""or do any act or thing in derogation thereof"" was open to reading as limited to the specifically enumerated non-opposition and non-challenge obligations or as preventing Argus Research Group from using its own ARGUS mark in ways claimed to derogate from Petroleum Argus’s rights.",,,,,0.0,True,The proposed issue turns on “or do any act or thing in derogation thereof” and whether that catchall reaches Argus Research Group’s use of its own ARGUS mark. Candidate g1 turns on the provision’s express identification of PETROLEUM ARGUS and its silence about registration of other ARGUS marks; g2 turns on “as shown in that application for the goods and services” and whether it limits Petroleum Argus/Argus Media’s use of PETROLEUM ARGUS to the registration’s scope.,,"Neither candidate names the catchall-clause ambiguity proposed. Although g2 also contrasts a no-challenge obligation with a use restriction, it concerns different words, a different party’s use, and a different mark, so it is not the same defect."
562FSupp2d260_settlement_agreement_the_agreement__c003__t1_2,562FSupp2d260_settlement_agreement_the_agreement,c003,562 F.Supp.2d 260,2. No opposition or challenge to PETROLEUM ARGUS,1.1,westlaw,1,1.0,"The phrase ""or do any act or thing in derogation thereof"" was open to reading as limited to the specific covenants concerning the ENERGY ARGUS marks or as reaching Argus Research Group’s legitimate use of its own marks.",,,,,0.0,True,"The proposed issue turns on “or do any act or thing in derogation thereof,” particularly whether that catchall reaches Argus Research Group’s use of its own marks. Candidate g1 turns on the identification of “PETROLEUM ARGUS” and the Agreement’s silence about future registrations of other ARGUS marks; g2 turns on “as shown in that application for the goods and services” and whether that language limits actual use to the registration’s scope.",,"Neither candidate records the same defect. Although g2 also concerns restrictions on mark use, it attributes that dispute to the application-scope language, whereas the proposed issue concerns the reach and referent of the separate catchall clause."
562FSupp2d260_settlement_agreement_the_agreement__c003__t1_3,562FSupp2d260_settlement_agreement_the_agreement,c003,562 F.Supp.2d 260,2. No opposition or challenge to PETROLEUM ARGUS,1.1,westlaw,1,1.0,"The phrase ""for the goods and services as set forth in the registrations"" left open whether the non-challenge covenant was frozen to the goods and services currently registered or extended to a post-agreement expansion of the registrations.",,,,,0.0,True,"The proposed issue concerns “as shown in that application for the goods and services as set forth in that application as amended,” asking whether that scope was fixed at agreement execution or followed later expansion. g1 concerns the identification of “PETROLEUM ARGUS” and the absence of language covering future registrations of other ARGUS marks; g2 concerns whether the goods-and-services limitation merely describes the no-challenge promise or also limits actual use of PETROLEUM ARGUS.",,"Although g2 concerns the same goods-and-services language, it identifies a different defect: whether the agreement restricted actual use of the marks, not whether later expansion of an application or registration altered the temporal scope of the no-challenge covenant. Neither candidate addresses the proposed frozen-versus-future-expansion ambiguity."
808FSupp2d552_trademark_license_and_cooperation__c016__t1_1,808FSupp2d552_trademark_license_and_cooperation,c016,808 F.Supp.2d 552,2(a) Licensed Rights,1.1,westlaw,1,1.0,The phrase “subject only to whatever actions or inactions may have been taken or not taken by Morton regarding ownership of the rights” left open which prior actions or inactions qualified Licensor’s ownership representation.,,,,,0.0,True,"The proposed issue concerns the final sentence’s qualifier “subject only to whatever actions or inactions may have been taken or not taken by Morton regarding ownership of the rights.” Candidate g1 concerns the authorization for “promotion, advertising or marketing” and “broadcasting,” particularly whether it covered Rehab; candidate g2 concerns the scope of the term “exclusive license” and whether it barred other Hard Rock-branded ventures.",,Neither candidate addresses the qualification to Licensor’s ownership representation. The proposed issue therefore identifies a separate defect not recorded in g1 or g2.
